Month (month),State (state_name),State Code (state_code),District (district_name),District Code (district_code),Total Rice Allocated (total_rice_allocated),Total Wheat Allocated (total_wheat_allocated),Total Rice Distributed (total_rice_distributed),Total Wheat Distritibuted (total_wheat_distributed)
"2019-03-01","Maharashtra","27","Pune","490","14752.37","22020.04","7063.01","10578.46"
"2020-07-01","Odisha","21","Cuttack","350","7211.43","2553.01","7200.06","2549.06"
"2017-12-01","Madhya Pradesh","23","Guna","406","949.63","4181.15","655.16","2821.86"
"2020-07-01","Maharashtra","27","Buldana","472","3990.65","5823.88","3806.86","5559.92"
"2019-03-01","Tamil Nadu","33","Ramanathapuram","583","4964.87","140.05","4346.32","114.97"
"2017-10-01","Tamil Nadu","33","Cuddalore","570","27117.66","865.19","8623.6","221.12"
"2020-04-01","Jammu And Kashmir","1","Srinagar","13","3094.27","0.0","2971.98","0.0"
"2020-02-01","Jammu And Kashmir","1","Ganderbal","626","1686.64","0.0","922.91","5.44"
"2019-03-01","Jammu And Kashmir","1","Rajauri","12","2667.85","1824.06","1358.22","858.63"
"2019-08-01","Nagaland","13","Kohima","245","738.62","0.0","738.62","0.0"
"2020-09-01","Arunachal Pradesh","12","Papum Pare","237","540.64","0.0","1112.03","0.0"
"2019-08-01","Uttarakhand","5","Dehradun","49","6557.7","4019.22","3429.29","2101.03"
"2020-10-01","Assam","18","Nagaon","297","12097.08","695.0","12097.08","695.0"
"2018-03-01","Assam","18","Cachar","282","7445.92","0.0","7445.92","0.0"
"2017-12-01","Uttar Pradesh","9","Bulandshahr","134","5428.32","8076.48","0.0","0.0"
"2017-10-01","Chhattisgarh","22","Bastar","374","3423.13","0.0","3309.1","0.0"
"2019-09-01","Jammu And Kashmir","1","Shopian","625","894.95","0.0","894.33","0.0"
"2019-06-01","Gujarat","24","Kheda","450","2211.08","5216.79","2096.13","4946.25"
"2019-07-01","Uttarakhand","5","Pithoragarh","53","2153.18","1319.68","1186.89","838.15"
"2021-09-01","Karnataka","29","Udupi","549","3965.01","0.0","3863.44","0.0"
"2019-09-01","Haryana","6","Charki Dadri","701","0.0","959.69","0.0","928.36"
"2021-09-01","Tamil Nadu","33","Ramanathapuram","583","4680.0","522.0","3853.6","333.91"
"2019-11-01","Uttar Pradesh","9","Pratapgarh","174","5515.58","66225.13","4888.41","7158.95"
"2020-08-01","Tripura","16","Sepahijala","653","1822.57","0.0","1790.57","0.0"
"2020-06-01","Himachal Pradesh","2","Sirmaur","24","438.0","623.0","536.83","644.27"
"2017-09-01","Tamil Nadu","33","Coimbatore","569","26.15","2.2","0.0","0.0"
"2017-08-01","Karnataka","29","Gadag","537","5.18","0.0","3.77","0.0"
"2019-08-01","Uttar Pradesh","9","Rae Bareli","175","5091.17","7381.97","4880.8","7068.59"
"2018-09-01","Himachal Pradesh","2","Una","26","522.0","736.0","474.01","707.54"
"2018-06-01","Jammu And Kashmir","1","Bandipore","623","2356.07","157.81","1123.72","121.35"
"2020-06-01","Tamil Nadu","33","Pudukkottai","582","7314.56","157.93","6836.41","148.54"
"2019-01-01","Bihar","10","Jehanabad","199","2588.38","1725.58","2588.38","1725.58"
"2020-01-01","Jammu And Kashmir","1","Pulwama","11","3766.4","0.0","1749.75","0.0"
